	review	rating
1719	Superb phone with great features.	5
1720	I have just completed one month experience with lg q6 Design good display also goodCamera is not upto the markBattery draining very fastMild heating issueand phone is hangingBack side cover is plastic	2
1721	Guys this phone worth for 15000 superb i liked it	5
1722	Good item	4
1723	I really like the idea of lg mobile its looks soo good and very comfortable for handling.  Low price best product.  I really love it.	5
1724	Mobile is good but charger not good full charge phone in 10 to 12 hrs	1
1725	Worth for the price	5
1726	Picture quality is best and battery life great	5
1727	Fabulous	5
1728	I don't know how the dust is gone under the glass	4
1729	Battery life 16 hrs with data surfing	5
1730	Phone looks sleek and good. It is same as honor 9 lite and updated version. Cemera is good and overall phone is good. Will upate again with long usage. Got 1500 insta cash back. Got it for a good deal.	5
1731	Super display handy phone 18:9 super performance	5
1732	Phone was superb but camera is not good and not working dual camera	5
1733	Speed , battery life are fantastic ....Camera pic is satisfactory , sound is not upto the mark ... But i will go for this phone compared to vivo,oppo, etc all day long ..	5
1734	Very well designIt's very super	5
1735	It's a very good looking... Nice design.All over it's a good budget phone	5
1736	Overall a good product	4
1737	very good product from xiomi mi india.	5
1738	Full screen not display..Fully dispiont	3
1739	Super camera & sweet selfie	5
1740	Charge will be slow	4
1741	Apart from the battery back up being ana average one I have no complains about this phone.	5
1742	Awesome phone camera is dull another mobile is the best battery beckup is so strong exilent	5
1743	Awesome PH.. Thank U Amazon for this Discount...	5
1744	Totally fraud by mi	1
1745	Nice one go for it	5
1746	Perfect mobile at this prise.....after few months it get little bit hang.....otherwise its a great mobile	5
1747	Red mi brand as very nice...but not purchase from amazon because Amazon product not original... Amazon provided duplicate items	3
1748	Most attractive product in this price range	5
1749	According to Mi company product.. Very bad quality front camera ever....Sound is good.but look like ching when u play full volume.Battery is good..1 day easily backup	2
1750	good and perfect	4
1751	This is such an amazing phone which we are getting for low cost with lot of features with excellent camera	5
1752	Worst mobile I have purchased in my life.Battery drains out in less than 12 hours though I haven't yet installed all my applicationsTouch does not works properly ,hangs many timesMike is not good.often the other side does not hear my voice in between conversation.voice does not come clearNokia customer care is worst, they do not have enough customer care centre.all are very far.Regretting my decision of buying Nokia.NOKIA is not the same....	1
1753	Worst picture quality	2
1754	Defective piece is send	1
1755	Best for money	5
1756	Excellent display, camera, form factor and is lightweight.	5
1757	Good mobile only battery problem	5
1758	Best features on price	4
1759	Everything is OK but battery life is not getting up to the mark.	3
1760	Delivery was very fast.Good phone. Smooth operation. Camera is very good. Battery backup is excellent.Screen lock is smooth. Good phone over all	5
1761	Superb  Picture quality, nice sounds, battery one day work and anyone  can buy  this phone I like this phone ,	4
1762	It's functioning too properly	5
1763	Great smartphone... Delivered timely by Amazon... Comes loaded with superb camera and battery lasted for almost 2 day for average usage. Best smart phone in the 15K range.	5
1764	Gopd phone. Nice camera quality both front+camera. Hd amoled screen has good qualty of screen resolution. Overall value for money.	4
1765	Best in this price. But if you expect premium quality in this amount,not possible.	5
1766	This product doesn't have native video calling. Never buy it. they doesn't take it back.	1
1767	The phone itself was very good. With Stock android and Best in class cameras, I njoyed my first 24 days with phone very much. Only niggles were lack or 3.5 mm jack. I said  24 days because IT SUDDENLY STOPPED WORKING ALTOGATHER ON 25st DAY . ONLY WORKING THING WAS CHARGING LIGHT. Since then I have been to one to another xiaomi service center. It might take one more week to replace ita motherboard.PATHATIC QUALITY CONTROL FROM XIAOMI....	1
1768	Superb device with really good looks and features and also in best price segment	5
1769	Very good condition mobile	4
1770	Hang problemNetwork problemHeating issue.Better to buy realme c1 than this. Notch display not work on YouTube.Overall power performance phone..	1
1771	Picture quality is good but battery life very poor.	4
1772	I think the phone is amazing With so many cool features.	5
1773	Nice phone for this price range!!	4
1774	Best qualityLook likes premium	4
1775	Very bad	1
1776	Excellent all round performance	5
1777	Poor battery performanceNo fingerprint scannerHotspot doesn't work properly	2
1778	Gud	5
1779	Good product in this price segment. Excellent camera, smooth interference. Everything is fine. Overall perfect choice. But don't know why sometime it power off automatically.	3
1780	SUPER	5
1781	Camera quality honor 8x look like 5 mega fixel...... ....worst camera ..........but processor is the best....... 15000 range me yes mobile camera ke according10 %hai	1
1782	Average product	4
1783	Pros:Writing it after 3 months of usage..Good screen ..good to hold in your hand..will not able to use full of screen because of its proposition. Though its 5.5 inches screen its diffrent than other 5.5 inches phone in market..u get a taller screen not a wider one...advantage of it is browing ..scrolling will be less.Good BatteryGood noise free call reception ....no one complained nor i had a prob.Good selfie camConsMain cam is not of high quality- i feel its because of software... Cos same cam when i used with a doc scanning app the images were of good quality.	3
1784	Mind Blowing!!!💎💎Redmi Note 6 Pro💎💎 my first Redmi phone.It's looking so beautiful, camera quality is very good, battery life better than other phones. Overall performance of this phone is Best.👍👍READ MORE	5
1785	Excellent phoneGood camera clarityAwsome soundGood screen sizeGood and easy systemThe only problem isIt does not support SD cardIt does not have 3.2 mm earphone jack,AndIt does not have a good battery 🔋 backup	4
1786	phone delivered and it is ok. but my account got debited twice and flipkart delayimg  repayment of excess fund.  holding on to excess payment for no reason other than its own benefit.  on my call I get a date by which flipkart will call back (2days later).no real resolution.. never again with Flipkart with such serviceREAD MORE	1
1787	It has some flaws like some apps are not compatible with notch plus camera quality is not awesome as compared to Note 5 pro but for this price phone is good.Pros:1. Premium Looks2. Perfect dimensions3. Good Battery lifeCons:1. Camera quality as compared to Note 5 pro2. Not a full screen display.	4
1788	This mob is awarsom marbolos in pictures quality battery life so good but sound quality is not so good	4
1789	Picture quality is awesome. Dual camera is fantastic and main best thing is battery life is very good	5
1790	1.Front camera not good in low light.2.Notch is not so effective.&1.Battery, sound, screen, overall look Good	3
1791	So good .lag same times gaming so better .battery assam one day .	4
1792	Back panel is defective and call quality is very poor. Not sure how to replace it now.	1
1793	Don't think much, just buy it and enjoy it .	5
1794	Over all good product but slightly heating problem during charging I love this mobile overall.	5
1795	Good quality of pictures as a iPhone mobile battery life average good sound quality	5
1796	nice phone i have ever usedREAD MORE	4
1797	No comments	4
1798	good...mobile but  selfie camera little weak ...otherwise..very good experience with mobile	4
1799	Great look and most of the features of premium phone at affordable price	5
1800	It was the worst day of my life to give order for this phone...now facing hearing issue for both outcome & incoming call voice ..both are interrupt and unclear and silence only..unhappy with product	1
1801	Awesome battery backup. Handling experience awesome. Its not a big phone. Very comfortable in hands. Look is eye catching. Overall i lovee it. Just only one concern front cam must be 12 mp. But its 5 mp camera.but picture quality is impressive .	5
1802	Good product all the things are working good	5
1803	It's battery backup is amazing light weight and nice finish	4
1804	Booked on the launched day, I was very excited and thanks to Amazon quick and safe delivery. Guys, this handset is way better than others of this price range. Looks premium, colours are nice, both cameras do the best job, Face lock is aquarate and fast etc etc..	5
1805	Hi I got mi 6 pro.Mi6 pro have two speakers at the bottom but one speaker is working and the second one is not working I think .Is there any speaker ?How many speakers are there?There are speaker holesThanks	4
1806	As you described it is dual SIM dual standby (4G+4G), but it doesn't support dual volte. More over it is priced high. With same configuration we are getting real me 2 which is dual volte support and big screen, good camera and much cheaper than this.	1
1807	Good product but battery backup and sound something not heavy quality	4
1808	Mobile is very elegant. Fast response. Face unlock is excellent and ver fast. Good camera and battery life. Its worth money.	5
1809	I love the products very nice Moblile	5
1810	Phone is awesome koi negetive issue nhi hai keep buy it. Freedomly	5
1811	Pros- The best of part Phone Display Really awesomeLooks, Battery Backup,Rear Camera Good, face unlock perfectly work but face unlock time slow i mean 4-5/Sec, Bezel less  😉Cons-0 to 100% Battery charge time 2/hour 25 mints, Front Camera quality average but not poor, And No Home Button And Touch I'd  Front/Rear	5
1812	Tried one of LG Q6 running Android 7.1.1Don't buy this mobile , its a complete waste of money even for normal users, gamers don't even think of burning your money on this device you will completely regret as its processor so under powered.Only thing good in this mobile is 18:9 screen and its best in segment.App works smoothly like all other mobiles so I can't say its unique to this mobile.Camera is just pathetic ( i use phone camera for normal purposes) and you won't believe its 13MP with the quality of the pic takes (it look more like a picture taken with 8MP camera) and with very less settings!Heating, its a major problem! : Used it for 20 minutes, 2 minutes watching YouTube (1080p quality) and other apps like Chrome, Facebook running in background.Was checking where is the casting option ? Finally downloaded a casting app.Guess what ?This phone don't have Screen Mirroring ( or Miracast Support) only WiFi Direct, WiFi direct is kind of useless.I use LG WebOS TV and its good. But this phone is bad.	2
1813	I bought this phone after checking out details on GSMarena, and boy, that's the mistake I did.No double tap to wake, no NFC, not even a case or screen protector was provided with the phone!The images shot inside house under LED tube light, makes the colour change in images. Red looks orange. Baby pink looks off white.Summary-5/5 for design2/5 for processor (it lags even while scrolling notifications!)3/5 for camera3/5 for charging (takes 2 hours)1/5 for a cheap earphone (why was it even provided!!)4/5 for pulse light notifications4/5 for speakersOverall, not a good phone to purchase when there are other phones in market available at cheaper price than this phone.I wish, I should have done a more research before purchasing.	2
1814	Its a pretty good battery life phone.. Decent photos it clicks	4
1815	Using the ph. for 2 3 weeks.Camera is not up to the mark.I have used lg g3 stylus camera 13mp same but quality in this ph. downfall.Battery falling fast as compare to 3000.Other 3000 batter ph. staying for much longer time then this.Getup of the ph. and Screen is awesome.Overall average ph..Price can be between 11k to 12k then its better.Moto ph. giving this features in around 12k	3
1816	My mobile  got heat up while charging ,does its because  of first time or it can resolve  plz tell	1
1817	Design - 9/10,Camera - 5/10Display - 8/10Sound - 8/10Interface - 8/10Battery- 7/10Mfg quality - 9/10At 15K the phone is not affordable.  I suggest not to buy this phone at this price. LG should atleast read all these reviews and rectify.	2
1818	Really awesome mobile at this price.everything working perfect,faces unlock is too fast.screen is very smooth.Value for money.Good sound quality.i'll recommend if you are looking at this price.Go ahead buy for sure.	4
1819	Amazing 😍😍READ MORE	5
1820	Sound quality is great & even picture quality is good enough,,	4
1821	Thanks Amazon for 2 day delivery for a non prime user..... screen should have been bigger n wider n miui 10 should also be there.... other wise nice phone....	4
1822	Best mobile in this price range. Good 1 day backup for sensible users, low backup for others. Camera better than all MI phones in this price segment. Face unlock and knock knock display on/off better than fingerprint scanner once you/mobile gets used to it.	5
1823	There are tons of reviews that says what is best in the phone. So let me explain only the cons here.Camera : Portrait mode is pathetic.Display : Does not support 1080p or 780p in hotstar and amazon prime. Those who are using these apps do not buy this mobileSound : Very noisy	1
1824	Super handy phone	5
1825	great to use.Doesnt hangs and working smoothly	5
1826	What i liked is battery life, screen sizeWhat i desliked is audio output, the audio output is too low. Back camera is converting green color in blue. The phone weight increases drastically since phone can't be used without cover and tempered glass. I am going to contact Huawei to register complaint regarding camera and output of audio issue.	2
1827	Every thing is good but poor delivery service by Fedex	5
1828	Okok phone. Not soo good. Try any other Mi phone but not A2. Pushy apps generated by Android system .hating it. Only +point camera.	1
1829	Its really a great phone . First ever phone with notch from redmi. Camera is fine . picture quality us great . looks premium . only shortfall is sound , it  is less than average. Otherwise overall good .	4
1830	Excellent product at this prize	4
1831	Battery is average.. nd sound is little low.. overall the phone is superb.	5
1832	Very good picture quality	4
1833	Thankyou for give me a good product & also thanks for your courier service all	5
1834	Almost is good	4
1835	best budget phonREAD MORE	4
1836	Poor battery backup.  Full charged battery needs only 3hrs to get drain. Don't go for it	2
1837	Best mobileb in this category, picture quality is good, screen shot option is bit complicated.. Should I have been made easy option for this feature..otherwise overall excellent mobile... Value for money..!!	5
1838	Picture quality very poor	1
1839	Its been a month n i thought that 3 gb ram n 435 snap might make this device heat up!!!! However even on heavy gaming n multitasking this tough guy didnt heat up thumbs up LG👍👍👍	5
1840	Good phone but price is hight average front camera  but a little heating while gaming	5
1841	Value for money is all I can say about this phone. Basics like call quality is great. Do not expect much from the camera	4
1842	Phone heats up after 1hr use (watching video)	4
1843	Net work issue very bad problem	3
1844	I. Don't have any complaint.for this...Shipping was fast.. Packing was too Good and I love this mobile	5
1845	Value 4 Money Such A Great Product Fabo Battery Beautiful Design	5
1846	Big screenDual cameraSounds are too good.Vote for bjp	4
1847	very good phone at this price range.	5
1848	Decent picture qualityBattery life is very good	5
1849	I love mi smartphones	4
1850	Please don't buy this phone .It has so so so poor camera quality.MI disappointed us fully, I have full faith in MI , But it does not worth like 11000.	1
1851	Simple superb.	4
1852	After using of two weeks, i noticed phone getting to much of heat on volume button side. Camera was poor quality. No quick charge.Previous i used moto e3 that was very good mobile than LG Q6. Dont look at brands name if you buy a mobile please think how it helpful to you.	2
1853	Bargain for the price.Love the size. Just right, not too big nor small.The rounded curves make it easy to slip in and out of pocket.Decent batteryGood screen.Will give the big brands a run for their money.	5
1854	Perfect device for me comes with a giant screen, battery life, and a stunning look.	5
1855	Working good with Snapdragon 625 which is its best part. Camera is also good in this price range, camera clarity is good. Just go for it..	5
1856	Best in this price segment . Totally in love with this product. After using for about 1and half month I have written this. Just go for it blindly.	5
1857	Very worst mobile ,2 years back purchase moto g4plus  2 gb ram 16 gb internal memory woth 800 mb free space it will run very smoothly , but this mobile with 22 gb free space struck sometimes , face lock not working , touch screen not working very very worst mobile one star is also waste	1
1858	The display stopped working and turned black within 2 months and service center did asked me to pay Rs 7500 for display replacement as it does not comes under warranty... According to them the damage was due to water spillage which we people call perspiration... unbelievable...the phone is not even perspiration resistant which might be hardly few drops...	1
1859	Great mobileREAD MORE	5
1860	Got this phone at 13500/-Let me break down my review into small parts formally being a user of iPhone I was spoiled with the fast and timely os updates which was a strong reason to buy a Android One phone itself1. OS - The os is stock android as the phone is under Android One program and I must say Stock android is nothing like any android with heavy skin like miui or emui. It is far better in every way. Sure it lack app locker and the some other fancy stuff but it delivers an Experience which u can not understand without using it yourself2. Camera - After reading the reviews and seeing the reviews on YouTube I thought the camera would be amazing but it's more complicated then I thought the pictures. Taken from the camera app both front and back are above average I should say heck some pictures are straight mind-blowing but if I try to click a picture of a document it looses clarity. And I rarely use the default camera app as I am a Snapchat addict and the snap from this phone are disaster I don't know if it is an android thing or the phone itself as i come from apple family and the snaps there are amazing even from a 3 year old device and if I had to decide I would go for 6s camera anyday over a23. Battery- battery life is ok but the charger provided is quite fast and this phone supports quick charge 3 I would say a slim phone with average battery is better then a huge phone After all what are power banks for 😉😉4. Audio - speakers are great but this phone lacks headphones jack5. Built Quality - No issues in this department6. Finger print scanner - snappy is the word I would like to use here7. Face unlock - It is kinda hit and miss but helped me a lot when my fingers were wet or while driving8. Type c port - Versatile is the word that comes to mind afterall as mkbhd said usb c every thing.9. Power - This phone is a beast when it comes to processing the sd 660 is a great soc and anyday better then 636 if you were confused pubg is the only game i played and m really happy with its performanceVerdict - If u can get it at the time of sale and Snapchat Battery life and headphones jack aren't your main priority then go for this phone if you are confused with any other smartphone at this price the stock android is a reason enough to buy this phone.	5
1861	Nice product except sound and Stabilize in camera mode.	4
1862	The cell over all is good.Camera: 4/5Sound: 5/5Battery: 4/5Rating this as 4/5 because I compared it with Redmi Max 2	5
1863	it is a good tool i am using it with full joy.Thanks	5
1864	Not supported direct dialpad video call and not supported internet during volte call	3
1865	Good Quality and Product	5
1866	5Wonderful	5
1867	Best phone in mid range with premium quality shahbaz	5
1868	Except on one department I felt honor8x is more than a value for money mobile. When used headphone for calls lot disturbance is observed, caller will not be able to hear anything except disturbance.	4
1869	Too good	5
1870	GoodREAD MORE	5
1871	Phone is heating up quickly even after talking for just 15mins..	4
1872	had to run to customer service within 2 months of buying the product	3
1873	5 stars for premium built quality4 stars for software, display3 stars for sound and camera2 stars for charging1 star for nothing	5
1874	Superb handset.	5
1875	Some friends tell good but my luck not good, 2 times replace phone and finally refund process	1
1876	Nice mobile in this price range	4
1877	Ok h	5
1878	Over all good	4
1879	Nice mobile by Xiomi	4
1880	nice product	5
1881	display is very nice and camera is awsm	5
1882	Rear camera is superb , but front facing camera is not upto level on low light conditions . Face unlock is fast . Sound quality is OK . Battery life is great	5
1883	More ppi than iPhone xr	4
1884	This phone looks like a iPhone very good looking and camera is fentastic amazon good service for delivery and thanks to huwai for add earphone mobile box paking	5
1885	Excellent. Battery backup should have been better	4
1886	Mobile is handy and feels so light.The best feature is display.	5
1887	Looks stunning.Sound quality and picture quality are good.till now I like everything but few problems are thers:-1. Gets heated quite easily2.Smudges and fingprints form on the screen VERY EASILY. every time I tough there's a smudge.	4
1888	Good battery, finger sensor is amazing, never hanged so far and even less heat	5
1889	Good product worth for its price	4
1890	It's very fantastic mobile for daily use	5
1891	Awesome features and looks	5
1892	Expecting some more good as it's 13000 cost.	4
1893	Very Nice Phone in 15K price, Full HD+ Display just Cool.	5
1894	Overall phone is good. Only problem in notch display. This is not as we expected with MI.	4
1895	Bakwas	1
1896	Product was amazing and good but delivery i was wanting that ot could fast but very late i have order headset gaming one so it is also coming late i have order yesterday and i will come on 11or 12 .Again i am saying product was good deliver was bad	5
1897	My phone have problem with speaker. Their sound is not good. It's speaker quality irritated me.Battery quality is very low	3
1898	Go for it. In this price range this is the best.	5
1899	The honor 8X was very good smart phone from Huawei at just 13500.Pros. Premium build qualityMy favorite trippal slotKirin 710 SOC6.3 in notch displayEarpiece is louder even in traffic you can easily hear.Best camera 90% perfect eadge ditection in potrate modeBattery backup was great.All basic thing present in this phoneCons. Heat up when u play game. Normally it's okSound from speaker is litilbit lowThis review based on only 2 days usese.	4
1900	Picture quality of the front facing camera is not good. Great battery life.	4
1901	Bill not printed properly	4
1902	High budget with this feature realme2 is better than redmi6 pro	2
1903	I bought this mobile last month every thing is fine but the front camera is not good as they are showing in pictures. But the display is very good, battery life is very good.	3
1904	I got it for 14000 including 1000. Cash back offer during Diwali offerThis is by far the most beautiful product with powerful hardware.	5
1905	Awesomeness	5
1906	Battery performance of this one is too good....	5
1907	Killer phone	5
1908	Want Picture quality, sound and battery life little more better.	4
1909	Notch display camera, performance, and battery life awesome... Saini, hhh bhng hhh bhng hhh ghb hhh hui ji uu jj	5
1910	Best phone of this range.	5
1911	Thanks for mi	4
1912	Just go for it..	4
1913	Great phone, big value for money.	5
1914	Overall experience is good with this mobile	5
1915	Amazon delivered a either a defective product or it is a very bad phone. One sim slot is not working and battery is draining like any thing..	1
1916	Its a perfect phone in this price range.screen is too good back camera is good but front camera is blurry. Battery life is good 👍. At this price point eveythingis good. Though one bad thing is no fingerprint sensor and no screen mirroring feature is there.But it looks quite. And a good phone which can handle day to day task with moderate gaming very easily.A branded phone at this price point you will love it.	4
1917	While using whatapp in internet is not workingBut in wifi its working	1
1918	Nice mobile quality	4
1919	love you asusREAD MORE	5
1920	Sound quality is low, and battery life is less. In some apps works slow	4
1921	My device has screen light bleeding issue from right side of screen ... want replacement one more time. Internet speed is also not good. Lagging in games like pubg. Games not running smooth. Also has problem in the back panel glass it is not well fitted due to manufacturing defect.	3
1922	MI A2 product is superb in all aspects except battery life. If it contains battery capacity more than 4000 MAH will be very grateful.	5
1923	All in all a very decent mobile phone. I am quite satisfied with it's performance. Everything with mobile phone is so far so good..	4
1924	NICE MOBILE......	5
1925	Good phone and good performance....but not slim as shown in picture.	5
1926	Phone screen flickering sometimes want solution for this.	4
1927	Nice MI phone at reasonable rate. Nice camera, nice sound and nice battery life.	5
1928	Great features. Premium looks. Stands out.	5
1929	Camera improvement require	4
1930	Such a amazing phone...	5
1931	Perfect smartphone for gamers and heavy users. The performance is 🔥🔥🔥🔥🔥.	5
1932	Camera	4
1933	Excellent mobile phone meets my expectations.	5
1934	Very nice phone .	4
1935	With this price it is good product	5
1936	Good but battery backup not so good	5
1937	Very nice mobile phone	3
1938	The phone is very good but the battery backup is very bad. It doesn't last for more than 4-5 hours after a full charge.Overall the phone is average and the battery backup sucks.	3
1939	Average picture quality	3
1940	Good choice	5
1941	Picture sound could be better but bettery backup is awesome.	4
1942	Amazon is a very very Butiful aap i am happy.	5
1943	Camera not to the expectations, charger does not work since 3rd month.	3
1944	Got a 1000 cashback	5
1945	User friendly	4
1946	worst camera and hanging problem while playing games even 40 to 50 mb games	2
1947	Heating problem.Dimensions are very small.	1
1948	Owesome smartphone but poor camera quality	4
1949	Good mobile for this price	5
1950	Mobile is very good to look. The camera is also good	5
1951	Working fine	4
1952	Bought yesterday.. Kept charging for 2 hrs.. Software Updated to emui 2.0.. Hoped for better battery hrs with honor.. But disappointed with battery as it drains fast.. Within 30 min it drains from 100 to 80% even in standby mode..	3
1953	Phone is good.But I didn't like EMUI.It makes me feel so bad.Disappointed with emui.	4
1954	The product is really very good	5
1955	The sound quality is more than I expected, speaker and microphone are strong enough.The battery is awesome, I am a medium user and I spend 3 days with a single charge. The Li-Polymer battery is a beast.And it will be a value for money if you buy it. It is the best phone at this price, you will not be able to regret for buying this, and if you miss this you will surely regret in future.#ReviewHonor8X	5
1956	Simply amazing	5
1957	Good phone under 9000	4
1958	Over all product is very good but only problem I am facing is it's battery life.Otherwise product is highly recommended from my side 😉	5
1959	Camera app has unlimited features..	4
1960	Great Display.. feels handy in use.. Camera not even average.. battery life is fine. a day ... back side is plastic... will have scretches on back side . .	4
1961	Pictures quality good but sound is not good	4
1962	Cg das ghkjgc	5
1963	Only one word , wooooooo	5
1964	Ok not bad	3
1965	Mi A2 picture quality is mind blowing & Sound quality very good	5
1966	Mi a2 2018 Best mobile	5
1967	Phone is overall good ... But i have feel lag problem after 2 days dont know why	4
1968	Isme hearphone jack to hai hi nhi jo jarurt hoti hai fake phone	1
1969	Design display camera battery processor are superb	5
1970	Phone is heating while charging......Adapter is heating too much from the second time.....	4
1971	Nice and quality product	5
1972	Very low camera quality	3
1973	Thats called a PRO!Shot on RN5Pro is just amazing. Also very stylish and Rough Phone.READ MORE	5
1974	The cameras are awesome they have good quality and the Snapdragon 660 is also very good it provides a good performance.It just have a battery issue that it does not provide longer duration off work on the phone.	5
1975	Camera at its worst.	2
1976	Bettary so good	5
1977	"I bought it because it has got stock android OS and rock solid built quality. And It's a ""Nokia"" device."	5
1978	Dear Xiomi  picture quality n Camera settings need more n more improvement We need scroll capture n screen recording too Main failure in this set is memory card slot n When we take picture screen goes very dimm We do believe Mi will make it right in next sofwear update Otherwise its never value for our money only remain cheating n flaw to Mi products You	3
1979	Except good screen & Looks... Few mindset problems..I am happy with out-of-box apps and performance. Cost is bit high for 3gb/32gb without finger print.	3
1980	It's the best phone for its reasonable price 😁	5
1981	I bought this phone in Oct 18.I m facing many problems as file manager issue, video issue .Many features are not good on this phone. When I open file manager there so many ad on screen.Hanging problem also found.	2
1982	Good quality n touch camera awesome	4
1983	Phone all over good ...reason main thing bettry for me which is long lasting..For professional purpose handy..you can enjoy everything in budget. .i satisfied i paid 9900 for this product.No need to purchase costly mobile if same feature mobile with high rates..phone life we can assume 2 years last..again i can buy better mobile with in budget..Camera is sufficient in this cost ...	4
1984	Hate that phonePlz dont buy thisHangging problem and too bad experience	1
1985	Thankyou Amazon for providing this phone @ such a affordable price.	4
1986	Nice this mobile very smart woooooooo camera and beautiful super Redmi note 6 pro new version and very smart phone	5
1987	Excellent , i bought it in just 12500 inr from amazon great indian festival sale	5
1988	premium Built must Say But Processor not upto the Mark.	4
1989	Camera in best farformens	4
1990	I just love this phone..Thank you Amazon	5
1991	Picture quality is not up to the mark.	3
1992	Got a new Redmi 6 Pro-(3 GB Ram,32 GB storage).Design looks similar to that of iphone X,screen size is cool along with slim structure.Camera quality excellent.Only concern is the battery life and also device gets heated when put on charging mode.Otherwise its value for money.	4
1993	Thank you amazon .very good services, good working, all good . but  i m except giving diwali gift . Thank you again.	5
1994	very nice product battery is awesome but price is 13k perfect priceREAD MORE	5
1995	NiceREAD MORE	5
1996	Nice Product from Redmi	5
1997	I am using honor first time in my life and i am pretty much happy with the entire phone.. Quality, richness etc.. Premium phone.. 👌	5
1998	It's the best phone in this price range	5
1999	Looks amazing but camera quality is little poor	5
2000	price tag fulfill need by LG Q6. excellent productt	4
2001	Happy to use	4
2002	Camera sound super but bettary pick up less	3
2003	very good	4
2004	Nice but sound quality is very poor	5
2005	when i opened the box there is a missing a sim card tray so how can i will use my phone.	1
2006	phone looks good but der were no earphones with it...that was very disappointing.  also no SD card slot.READ MORE	3
2007	Chan	5
2008	I got this phone for exchange value of 10k. Have used it for more than 2 weeks now.Pros: No heating issue, it bit warm but that cannot be called heating issue. Camera looks are awesone. Phone has fallen few times but is steardy enough to handle falls. Battery if used with battery saver n sync off drains in 1.5day. With sync n batterysaver about 15hrs and about 12hrs with sync n batterysaver off. Have run airborne runs perfectly fine. Front camers group selfie or wide angle festure is awesome. Looks are awesome. Face lock feature is awesome.Whole interface can be customised on every screen.Phone even after loadin about 150 apps with sync on does not hang at all..Cons: no music equaliser, audio output on headfones is not uptothe mark and also there so option to customise it....Not worth more than 11k	5
2009	Good look and best performance phone	5
2010	Very bad phone	1
2011	Goods	5
2012	Very good phone.I have use it . it working nice.	5
2013	(Please read till end )I got lg q6 for 8500 (5000 off on exchanging moto x(2000+3000 extra) + 1500 cash back in bank)So at 8500 it is good but when you go above 10,000 its not good at allI am using lg q6 for 2-3 days and its good but NOT for 15000 ,better wait and get yourself moto g 5s, moto x4,mi 5s these devices are going to be beast .CONCLUSION: If you only want display(awesome display) (attracts people) and are basic user (calls and whatsapp ,Facebook) then it is good otherwise a BIG NO ,front camera is dissapointment ,back camera is averageFace recognition is mediocre ,not good doesn't work most of the timeAnyways at 8500 the best phone available,thanks amazon for awesome deals at independence dayUPDATE:Amazon customer service has taken its worst phase everThe phone i got had all corners depressed (recieved defective item) contacted amazon , after 2-3 calls and an email with pics attached , they agreed to send a service man, who only agrees and tell me to say to amazon that product is not damaged but defective, i agreed to it, now when i call amazon they say that service man found no damage on screen. (-_- this is stupid and unprofession ) he said that they can not replace the defective phone even when it is under replacement warranty and cancelled the call, shame on you amazon , you wasted my time and gave no solution, so i paid for a defective phone.Conclusion : once you pay , its your luck if you are getting a working phone or not.amazon dosent give a damn only reasons .The best tempered glass also had spaces at corners , till now replaced 4 different screen protectors.	2
2014	best camera I luv it.....READ MORE	5
2015	Front flash is missing otherwise mobile is good	4
2016	Nice phone. Just want to say mi now you need to change somthing in your phones.	5
2017	👍	4
2018	Wastage of money... Camera & Sound quality is very bad.. Better features in low cost from.other company... So please do not buy... I m giving negative star	1
2019	Best in camera	5
2020	Data transfer speed is very slow both via wifi & USB cable. Wifi does not support 5X faster transfer in shareit. Did expect better...	3
2021	Its great  mbl	5
2022	value of money....!!	4
2023	Good mobile phone but not very good. camera is average.	4
2024	Not good buy another brand phote heating restart problem not working properly in outstanding way better buy honour or Motorola	1
2025	Not woth	3
2026	Good phone under15000	5
2027	No hanging	5
2028	battery 3000 mah is very low configure for this phone.default gallery is also missing and disappointed.	4
2029	It a very good phone....its can beat any other competition phone....in this price point its have a full vision full HD+ Display....& best 📷.......I am having it and I love this phone.	5
2030	5Great product	5
2031	Mobile is handy which is a very good thing for me and looks also good .But camera quality not up to the mark in low light .overall i can go for it	4
2032	Battery is 👎	5
2033	The mobile screen is not working properly and when i play the games it hangs the battery is not giving backup and the touch is not working properly	1
2034	Should have given a powerful battery...dont know if it was possible with such slimness	5
2035	horrible experience! Flipkart delivered me returned product and when I request for return ,they cancel the rerurn request after 3-4 days.Don't buy anything from this fraud site .READ MORE	1
2036	Excellent screen and built quality. Lowlight photos are good but colours are oversaturated. Should fix this with software update. Good sound quality but not the loudest. Also good battery life.	5
2037	Picture and sound quality best but battery no two days life one day life	5
2038	It's a good Mobile for that price, Picture Quality is Excellent, Selfie Photos are awesome, Really like the color of Phone, Display & Camera is very impressive,	5
2039	Good display, touch feel good , nice look, all are good, but camera is not good, mi a1 camera is better then a2...i like a1	3
2040	Nice mobile, best thing about this mobile is the battery backup and fingerprint unlock is very fast	5
2041	Performance not go at this priceCamera quality badBattary life goodVery old processorSome time laging phoneDon't buy this phone	3
2042	Camera is not good	4
2043	Not sound working properly .it creates some problem I contact Amazon help line they didn't respond promptly.worst to buy.	1
2044	one of the best mobile phone this price rangeCamera  8/10Battery 10/10Display   9/10Value for money 9/10performance 10/10READ MORE	5
2045	1 thing missing gorilla glass.!	4
2046	I love the Full vision display & the Face unlock. Best gift received.	5
2047	Camera quality is not good as much we excepted.	3
